drug,target
Arachidonic Acid,GAP43
Arachidonic Acid,GCLC
Arachidonic Acid,GLRX
Arachidonic Acid,GPX1
Arachidonic Acid,GPX4
Arachidonic Acid,GSK3B
Arachidonic Acid,HMOX1
Arachidonic Acid,HTR1A
Arachidonic Acid,IL1A
Arachidonic Acid,IL1B
Arachidonic Acid,IL4
Arachidonic Acid,IL6
Arachidonic Acid,INS
Arachidonic Acid,ITGA2B
Arachidonic Acid,ITGB3
Arachidonic Acid,JUN
Arachidonic Acid,KCNK10
Arachidonic Acid,KCNK2
Arachidonic Acid,KCNK4
Arachidonic Acid,KRT18
Arachidonic Acid,KRT8
Arachidonic Acid,LDLR
Arachidonic Acid,MAP2K1
Arachidonic Acid,MAPK1
Arachidonic Acid,MAPK14
Arachidonic Acid,MAPK3
Arachidonic Acid,MAPT
Arachidonic Acid,MMP13
Arachidonic Acid,MMP2
Arachidonic Acid,MMP9
Arachidonic Acid,MPO
Arachidonic Acid,NCF1
Arachidonic Acid,NCF2
Arachidonic Acid,NOX1
Arachidonic Acid,NR1H4
Arachidonic Acid,PARP1
Arachidonic Acid,PLA2G4A
Arachidonic Acid,PLA2G5
Arachidonic Acid,PLA2G6
Arachidonic Acid,PLAA
Arachidonic Acid,PLIN2
Arachidonic Acid,PON1
Arachidonic Acid,PPARA
Arachidonic Acid,PPARG
Arachidonic Acid,PTGS1
Arachidonic Acid,PTGS2
Arachidonic Acid,RXRA
Arachidonic Acid,SELP
Arachidonic Acid,SOD1
Arachidonic Acid,SOD2
Arachidonic Acid,STK11
Arachidonic Acid,TNF
Arachidonic Acid,TNFRSF1A
Arachidonic Acid,TRPA1
Arachidonic Acid,TRPC4
Arachidonic Acid,TRPV1
Arachidonic Acid,TRPV4
Arachidonic Acid,UGT1A1
Arachidonic Acid,UGT1A10
Arachidonic Acid,UGT1A3
Arachidonic Acid,UGT1A4
Arachidonic Acid,UGT1A9
Arachidonic Acid,UGT2B7
Artemether,CYP2B6
Artemether,CYP2C19
Artemether,CYP2C9
Artemether,CYP2D6
Artemether,CYP3A4
Artemether,CYP3A5
Artemisinin,ABCB1
Artemisinin,ABCC3
Artemisinin,CASP3
Artemisinin,CHUK
Artemisinin,CYP1A2
Artemisinin,CYP2B6
Artemisinin,CYP2C19
Artemisinin,CYP3A4
Artemisinin,GSTA1
Artemisinin,GSTP1
Artemisinin,IKBKB
Artemisinin,NFKB1
Artemisinin,NFKBIA
Artemisinin,NR1I2
Artemisinin,NR1I3
Artemisinin,RELA
Artemisinine,ABCB1
Artemisinine,ABCC3
Artemisinine,CASP3
Artemisinine,CHUK
Artemisinine,CYP1A2
Artemisinine,CYP2B6
Artemisinine,CYP2C19
Artemisinine,CYP3A4
Artemisinine,GSTA1
Artemisinine,GSTP1
Artemisinine,IKBKB
Artemisinine,NFKB1
Artemisinine,NFKBIA
Artemisinine,NR1I2
Artemisinine,NR1I3
Artemisinine,RELA
Artesunate,AIFM1
Artesunate,BAX
Artesunate,BCL2
Artesunate,CASP3
Artesunate,CASP9
Artesunate,CAT
Artesunate,CYP2A6
Artesunate,FAS
Artesunate,GSTP1
Artesunate,PARP1
Artesunate,SP1
Artesunate,TPT1
Artesunate,YY1
Ascorbic Acid,ABCC2
Ascorbic Acid,ACHE
Ascorbic Acid,ACTA2
Ascorbic Acid,AGT
Ascorbic Acid,AKR1B1
Ascorbic Acid,AKT1
Ascorbic Acid,ALDH2
Ascorbic Acid,ANXA5
Ascorbic Acid,APOA1
Ascorbic Acid,APOB
Ascorbic Acid,APP
Ascorbic Acid,ARHGDIB
Ascorbic Acid,ARPC5
Ascorbic Acid,ATP5B
Ascorbic Acid,BAD
Ascorbic Acid,BAX
Ascorbic Acid,BBC3
Ascorbic Acid,BCHE
Ascorbic Acid,BCL2
Ascorbic Acid,BCL2L1
Ascorbic Acid,BCO1
Ascorbic Acid,BGLAP
Ascorbic Acid,CA9
Ascorbic Acid,CASP2
Ascorbic Acid,CASP3
Ascorbic Acid,CASP6
Ascorbic Acid,CASP7
Ascorbic Acid,CASP8
Ascorbic Acid,CASP9
Ascorbic Acid,CAT
Ascorbic Acid,CCNA1
Ascorbic Acid,CCNB1
Ascorbic Acid,CCND1
Ascorbic Acid,CCND2
Ascorbic Acid,CCND3
Ascorbic Acid,CCNE2
Ascorbic Acid,CD44
Ascorbic Acid,CD69
Ascorbic Acid,CDK1
Ascorbic Acid,CDK2
Ascorbic Acid,CDK4
Ascorbic Acid,CDK6
Ascorbic Acid,CDKN1A
Ascorbic Acid,CDKN2A
Ascorbic Acid,CEBPA
Ascorbic Acid,CFTR
Ascorbic Acid,CNN1
Ascorbic Acid,CNTF
Ascorbic Acid,CRP
Ascorbic Acid,CTSD
Ascorbic Acid,CXCL1
Ascorbic Acid,CXCL8
Ascorbic Acid,CYBA
Ascorbic Acid,CYBRD1
Ascorbic Acid,CYCS
Ascorbic Acid,CYP11A1
Ascorbic Acid,CYP1A1
Ascorbic Acid,CYP1A2
Ascorbic Acid,CYP2A6
Ascorbic Acid,CYP2E1
Ascorbic Acid,CYP3A
Ascorbic Acid,EPAS1
Ascorbic Acid,FBP1
Ascorbic Acid,FOXA2
Ascorbic Acid,FSHB
Ascorbic Acid,FTL
Ascorbic Acid,FYN
Ascorbic Acid,GAL
Ascorbic Acid,GAMT
Ascorbic Acid,GAPDH
Ascorbic Acid,GFAP
Ascorbic Acid,GGT1
Ascorbic Acid,GH1
Ascorbic Acid,GLO1
Ascorbic Acid,GPC1
Ascorbic Acid,GPX1
Ascorbic Acid,GSR
Ascorbic Acid,GSTM1
Ascorbic Acid,GUCY1B3
Ascorbic Acid,GUSB
Ascorbic Acid,H2AFX
Ascorbic Acid,HIF1A
Ascorbic Acid,HMOX1
Ascorbic Acid,HP
Ascorbic Acid,HPRT1
Ascorbic Acid,HSP90AB1
Ascorbic Acid,HSPA5
Ascorbic Acid,HTN3
Ascorbic Acid,ICAM1
Ascorbic Acid,IFNG
Ascorbic Acid,IGF1R
Ascorbic Acid,IKZF1
Ascorbic Acid,IL10
Ascorbic Acid,IL1B
Ascorbic Acid,IL4
Ascorbic Acid,IREB2
Ascorbic Acid,IRS1
